Age Slab,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6-14 Years Old,Maharashtra,Total,37.03,32.59,33.25,28.99,39.03,21.93,30.48,27,25.9,25.9
6-14 Years Old,Maharashtra,Boy,NA,NA,NA,26.46,38.82,22.92,28.34,25.4,24.4,24.5
6-14 Years Old,Maharashtra,Girl,NA,NA,NA,31.74,39.25,20.84,32.82,28.6,27.6,27.4
6-14 Years Old,Manipur,Total,37.75,32.93,30.61,32.8,35.97,41.22,41.93,43.9,57.1,52.8
6-14 Years Old,Manipur,Boy,NA,NA,NA,34.47,36.34,40.6,41.03,42.9,57.7,51.7
6-14 Years Old,Manipur,Girl,NA,NA,NA,30.91,35.56,41.87,42.88,44.9,56.6,53.9
6-14 Years Old,Meghalaya,Total,76.99,71.67,71.13,64.21,64.02,60.41,60.43,68.2,73.9,70.4
6-14 Years Old,Meghalaya,Boy,NA,NA,NA,65.99,65.96,62.54,62.51,70.4,75.8,72.5
6-14 Years Old,Meghalaya,Girl,NA,NA,NA,62.43,62.06,58.26,58.34,65.9,72.1,68.3
6-14 Years Old,Mizoram,Total,59.89,58.31,64.19,66.84,64.86,62.56,62.75,46.6,41.6,36.7
6-14 Years Old,Mizoram,Boy,NA,NA,NA,68.99,66.2,63.71,64.26,46.4,43.4,37.5
6-14 Years Old,Mizoram,Girl,NA,NA,NA,64.34,63.4,61.26,61.06,46.8,39.6,35.7
6-14 Years Old,Nagaland,Total,53.36,53.38,44.83,42.49,38.1,38.6,46.65,47.2,31.6,45.4
6-14 Years Old,Nagaland,Boy,NA,NA,NA,41.09,37.45,38.03,46.84,47.1,32.5,45.2
6-14 Years Old,Nagaland,Girl,NA,NA,NA,43.93,38.77,39.18,46.44,47.3,30.5,45.6
6-14 Years Old,Odisha,Total,60.74,61.73,61.72,61.95,62.63,62.59,61.34,56.9,54.3,55
6-14 Years Old,Odisha,Boy,NA,NA,NA,65.56,64.83,65.04,62.62,59.1,53.1,54.4
6-14 Years Old,Odisha,Girl,NA,NA,NA,56.64,59.49,59.09,59.71,54,55.6,55.6
6-14 Years Old,Rajasthan,Total,53.56,66.6,68.5,65.34,59.47,61.07,62.33,58.8,50.3,53.3
6-14 Years Old,Rajasthan,Boy,NA,NA,NA,60.85,55.72,57.19,62.21,59.3,41.2,49.2
6-14 Years Old,Rajasthan,Girl,NA,NA,NA,71.33,64.64,66.2,62.52,57.9,59.7,58.1
6-14 Years Old,Sikkim,Total,63.41,69.66,73.29,71.22,63.17,65.85,64.93,46.4,44.7,42.8
6-14 Years Old,Sikkim,Boy,NA,NA,NA,72.48,65.95,68.12,68.13,53,51,50.6
6-14 Years Old,Sikkim,Girl,NA,NA,NA,70.02,60.3,63.54,61.65,39.4,38.1,34.3
6-14 Years Old,Tamil Nadu,Total,40.07,42.85,25.15,23.96,22.11,NA,9.09,NA,8.7,8
6-14 Years Old,Tamil Nadu,Boy,NA,NA,NA,24.62,20.84,NA,9.48,NA,9.1,7.8
6-14 Years Old,Tamil Nadu,Girl,NA,NA,NA,23.24,23.45,NA,8.67,NA,8.2,8.2
6-14 Years Old,Tripura,Total,69.02,65.19,64.29,64.15,55.88,50.52,54.77,47.6,43.7,48.2
6-14 Years Old,Tripura,Boy,NA,NA,NA,62.05,56.83,52.19,55.33,49.5,45.4,50.2
6-14 Years Old,Tripura,Girl,NA,NA,NA,66.42,54.82,48.67,54.15,45.5,41.8,45.9
6-14 Years Old,Uttar Pradesh,Total,60.11,45.57,42.84,41.94,41.25,44.18,28.64,22.7,52.8,49.7
6-14 Years Old,Uttar Pradesh,Boy,NA,NA,NA,43.71,42.99,45.35,34.57,30.6,50.7,49.3
6-14 Years Old,Uttar Pradesh,Girl,NA,NA,NA,39.18,38.53,42.35,18.99,9.5,55.2,50.2
6-14 Years Old,Uttarakhand,Total,NA,NA,NA,NA,NA,NA,NA,25.9,30.8,31.6
6-14 Years Old,Uttarakhand,Boy,NA,NA,NA,NA,NA,NA,NA,24.7,32.7,33.7
6-14 Years Old,Uttarakhand,Girl,NA,NA,NA,NA,NA,NA,NA,27.1,28.7,29.3
6-14 Years Old,West Bengal,Total,70.87,68.23,63.77,63.63,62.45,61.37,63.87,59.3,50.5,49.1
6-14 Years Old,West Bengal,Boy,NA,NA,NA,63.7,61.16,63.01,64.96,60.9,52.9,50.4
6-14 Years Old,West Bengal,Girl,NA,NA,NA,63.55,63.88,59.54,62.7,57.7,48,47.7
